timestamp,methane concentration,wind speed resultant,wind direction,temperature,device
2022-2-8 00:00,0.0247,2.49387566,303.79,38.1,device_A
2022-2-8 01:00,0.0214,2.507,304.09,38.247,device_A
2022-2-8 02:00,0.0254,2.475,304.39,38.323,device_A
2022-2-8 03:00,0.0246,2.667,304.69,38.309,device_A
2022-2-8 04:00,0.0227,2.908,304.99,38.275,device_A
2022-2-8 05:00,0.0222,3.137,305.29,38.179,device_A
2022-2-8 06:00,0.022,3.221,305.59,38.067,device_A
2022-2-8 07:00,0.0243,3.415,305.89,38.048,device_A
2022-2-8 08:00,0.0231,3.307,306.2,37.997,device_A
2022-2-8 09:00,0.0213,3.111,306.5,38.101,device_A
2022-2-8 10:00,0.0237,3.352,306.81,38.215,device_A
2022-2-8 11:00,0.0227,3.402,307.11,38.163,device_A
2022-2-8 12:00,0.0231,3.32,307.42,38.187,device_A
2022-2-8 13:00,0.0218,3.14,307.73,38.346,device_A
2022-2-8 14:00,0.0256,3.223,308.03,38.322,device_A
2022-2-8 15:00,0.0251,3.366,308.34,38.476,device_A
2022-2-8 16:00,0.0241,3.135,308.65,38.443,device_A
2022-2-8 17:00,0.0212,3.231,308.96,38.517,device_A
2022-2-8 18:00,0.0255,3.04,309.27,38.537,device_A
2022-2-8 19:00,0.0258,2.973,309.58,38.6,device_A
2022-2-8 20:00,0.0211,2.837,309.89,38.745,device_A
2022-2-8 21:00,0.0224,3.02,310.21,38.679,device_A
2022-2-8 22:00,0.0251,2.865,310.52,38.755,device_A
2022-2-8 23:00,0.0221,2.97,310.83,39.009,device_A
2022-2-9 00:00,0.0213,3.125,311.15,39.074,device_A
2022-2-9 01:00,0.0212,3.005,311.46,39.093,device_A
2022-2-9 02:00,0.0252,2.95,311.78,38.962,device_A
2022-2-9 03:00,0.0213,2.959,312.09,39.07,device_A
2022-2-9 04:00,0.0257,2.727,312.41,39.05,device_A
2022-2-9 05:00,0.0233,2.532,312.72,39.287,device_A
2022-2-9 06:00,0.0235,2.545,313.04,39.195,device_A
2022-2-9 07:00,0.0233,2.726,313.36,39.291,device_A
2022-2-9 08:00,0.0261,2.616,313.68,39.192,device_A
2022-2-9 09:00,0.0236,2.785,313.99,39.306,device_A
2022-2-9 10:00,0.0255,2.73,314.31,39.109,device_A
2022-2-9 11:00,0.0217,2.521,314.63,38.965,device_A
2022-2-9 12:00,0.0213,2.439,314.95,38.901,device_A
2022-2-9 13:00,0.0227,2.518,315.27,38.957,device_A
2022-2-9 14:00,0.0227,2.277,315.59,38.892,device_A
2022-2-9 15:00,0.0253,2.486,315.91,38.947,device_A
2022-2-9 16:00,0.023,2.248,316.23,38.765,device_A
2022-2-9 17:00,0.0244,2.03,316.55,38.534,device_A
2022-2-9 18:00,0.0221,1.849,316.87,38.296,device_A
2022-2-9 19:00,0.0245,1.739,317.19,38.15,device_A
2022-2-9 20:00,0.0247,1.612,317.51,38.126,device_A
2022-2-9 21:00,0.0217,1.384,317.83,38.374,device_A
2022-2-9 22:00,0.0247,1.194,318.15,38.532,device_A
2022-2-9 23:00,0.025,1.03,318.47,38.394,device_A
2022-2-10 00:00,0.0218,1.199,318.79,38.628,device_A
2022-2-10 01:00,0.0231,1.283,319.12,38.469,device_A
2022-2-10 02:00,0.0238,1.384,319.44,38.496,device_A
2022-2-10 03:00,0.0228,1.505,319.76,38.291,device_A
2022-2-10 04:00,0.0214,1.261,320.08,38.151,device_A
2022-2-10 05:00,0.0218,1.216,320.4,50,device_A
2022-2-10 06:00,0.0219,1.289,320.72,49,device_A
2022-2-10 07:00,0.0228,1.221,321.04,51,device_A
2022-2-10 08:00,0.0225,1.295,321.36,37.742,device_A
2022-2-10 09:00,0.0233,1.052,321.69,37.883,device_A
2022-2-10 10:00,0.0227,0.808,322.01,37.72,device_A
2022-2-10 11:00,0.0228,0.956,322.33,37.857,device_A
2022-2-10 12:00,0.0245,0.852,322.65,38.076,device_A
2022-2-10 13:00,0.0236,1.026,322.97,38.089,device_A
2022-2-10 14:00,0.0209,0.836,323.29,38.326,device_A
2022-2-10 15:00,0.02,0.758,323.61,38.33,device_A
2022-2-10 16:00,0.0232,0.887,323.93,38.369,device_A
2022-2-10 17:00,0.0237,1.076,324.25,38.151,device_A
2022-2-10 18:00,0.0239,0.999,324.57,38.174,device_A
2022-2-10 19:00,0.022,1.15,324.89,38.337,device_A
2022-2-10 20:00,0.0248,1.205,325.2,38.285,device_A
2022-2-10 21:00,0.0242,1.195,325.52,38.492,device_A
2022-2-10 22:00,0.0198,1.351,325.84,38.347,device_A
2022-2-10 23:00,0.0199,1.45,326.16,38.237,device_A
2022-2-11 00:00,0.0222,1.498,326.47,38.352,device_A
2022-2-11 01:00,0.0217,1.537,326.79,38.116,device_A
2022-2-11 02:00,0.0223,1.501,327.11,38.232,device_A
2022-2-11 03:00,0.0197,1.678,327.42,38.198,device_A
2022-2-11 04:00,0.0193,1.545,327.74,38.048,device_A
2022-2-11 05:00,0.0214,1.321,328.05,38.022,device_A
2022-2-11 06:00,0.0209,1.428,328.37,38.208,device_A
2022-2-11 07:00,0.0225,1.361,328.68,38.16,device_A
2022-2-11 08:00,0.0213,1.527,328.99,38.297,device_A
2022-2-11 09:00,0.0202,1.292,329.31,38.464,device_A
2022-2-11 10:00,0.0222,1.272,329.62,40,device_A
2022-2-11 11:00,0.0241,1.081,329.93,46,device_A
2022-2-11 12:00,0.0206,1.101,330.24,58,device_A
2022-2-11 13:00,0.0205,1.258,330.55,38.559,device_A
2022-2-11 14:00,0.0221,1.373,330.86,38.579,device_A
2022-2-11 15:00,0.0209,1.601,331.17,38.469,device_A
2022-2-11 16:00,0.0241,1.47,331.48,38.405,device_A
2022-2-11 17:00,0.0241,1.374,331.78,38.638,device_A
2022-2-11 18:00,0.0243,1.466,332.09,38.735,device_A
2022-2-11 19:00,0.0209,1.64,332.4,38.793,device_A
2022-2-11 20:00,0.0226,1.614,332.7,38.723,device_A
2022-2-11 21:00,0.0198,1.673,333.01,38.664,device_A
2022-2-11 22:00,0.0216,1.715,333.31,38.632,device_A
2022-2-11 23:00,0.0238,1.587,333.61,38.573,device_A
2022-2-12 00:00,0.0246,1.505,333.92,38.373,device_A
2022-2-12 01:00,0.0239,1.626,334.22,38.305,device_A
2022-2-12 02:00,0.021,1.673,334.52,38.334,device_A
2022-2-12 03:00,0.022,1.805,334.82,38.145,device_A
2022-2-12 04:00,0.0212,1.835,335.12,38.289,device_A
2022-2-12 05:00,0.0206,1.587,335.42,38.385,device_A
2022-2-12 06:00,0.0235,1.482,335.71,38.547,device_A
2022-2-12 07:00,0.0225,1.703,336.01,38.718,device_A
2022-2-12 08:00,0.0202,1.571,336.3,38.755,device_A
2022-2-12 09:00,0.0231,1.747,336.6,38.916,device_A
2022-2-12 10:00,0.0237,1.637,336.89,39.066,device_A
2022-2-12 11:00,0.0221,1.482,337.18,38.855,device_A
2022-2-12 12:00,0.0226,1.402,337.48,39.04,device_A
2022-2-12 13:00,0.0227,1.211,337.77,38.914,device_A
2022-2-12 14:00,0.0202,1.121,338.06,38.952,device_A
2022-2-12 15:00,0.0241,1.222,338.35,39.128,device_A
2022-2-12 16:00,0.0217,1.335,338.63,39.121,device_A
2022-2-12 17:00,0.0245,1.101,338.92,39.053,device_A
2022-2-12 18:00,0.0235,0.874,339.21,39.108,device_A
2022-2-12 19:00,0.0229,1.096,339.49,39.34,device_A
2022-2-12 20:00,0.0201,1.078,339.78,39.323,device_A
2022-2-12 21:00,0.04,1.202,340.06,39.442,device_A
2022-2-12 22:00,0.043,1.167,340.34,39.403,device_A
2022-2-12 23:00,0.0444,1.184,340.62,39.584,device_A
2022-2-13 00:00,0.0222,1.364,340.9,39.545,device_A
2022-2-13 01:00,0.0211,1.611,341.18,39.664,device_A
2022-2-13 02:00,0.0219,1.739,341.46,39.789,device_A
2022-2-13 03:00,0.0235,1.918,341.73,39.55,device_A
2022-2-13 04:00,0.0227,1.8,342.01,39.452,device_A
2022-2-13 05:00,0.0241,1.769,342.28,39.495,device_A
2022-2-13 06:00,0.0203,1.763,342.56,39.368,device_A
2022-2-13 07:00,0.0219,1.633,342.83,39.443,device_A
2022-2-13 08:00,0.0255,1.561,343.1,39.247,device_A
2022-2-13 09:00,0.0212,1.451,343.37,39.275,device_A
2022-2-13 10:00,0.0249,1.521,343.64,39.238,device_A
2022-2-13 11:00,0.0249,1.468,343.91,39.481,device_A
2022-2-13 12:00,0.0204,1.553,344.17,39.527,device_A
2022-2-13 13:00,0.0206,1.716,344.44,39.664,device_A
2022-2-13 14:00,0.0241,1.598,344.7,39.832,device_A
2022-2-13 15:00,0.0241,1.431,344.97,39.806,device_A
2022-2-13 16:00,0.0218,1.668,345.23,39.913,device_A
2022-2-13 17:00,0.0214,1.45,345.49,39.876,device_A
2022-2-13 18:00,0.0249,1.499,345.75,39.956,device_A
2022-2-13 19:00,0.024,1.37,346.01,40.034,device_A
2022-2-13 20:00,0.0219,1.374,346.26,40.217,device_A
2022-2-13 21:00,0.024,1.603,346.52,40.018,device_A
2022-2-13 22:00,0.0233,1.515,346.78,40.199,device_A
2022-2-13 23:00,0.0241,1.669,347.03,40.032,device_A
2022-2-14 00:00,0.0252,1.74,347.28,40.087,device_A
2022-2-14 01:00,0.0246,1.932,347.53,40.18,device_A
2022-2-14 02:00,0.025,1.974,347.78,39.962,device_A
2022-2-14 03:00,0.0223,2.049,348.03,40.05,device_A
2022-2-14 04:00,0.0247,2.031,348.28,40.308,device_A
2022-2-14 05:00,0.0232,1.86,348.53,40.359,device_A
2022-2-14 06:00,0.025,1.656,348.77,40.214,device_A
2022-2-14 07:00,0.0217,1.704,349.02,40.288,device_A
2022-2-14 08:00,0.0247,1.909,349.26,40.523,device_A
2022-2-14 09:00,0.0222,1.995,349.51,40.323,device_A
2022-2-14 10:00,0.0239,2.147,349.75,40.522,device_A
2022-2-14 11:00,0.0254,2.328,349.99,40.512,device_A
2022-2-14 12:00,0.0239,2.379,350.23,40.743,device_A
2022-2-14 13:00,0.0211,2.464,350.46,40.744,device_A
2022-2-14 14:00,0.0219,2.427,350.7,40.947,device_A
2022-2-14 15:00,0.0244,2.633,350.93,40.802,device_A
2022-2-14 16:00,0.0232,2.622,351.17,40.72,device_A
2022-2-14 17:00,0.0221,2.643,351.4,40.674,device_A
2022-2-14 18:00,0.0217,2.495,351.63,40.508,device_A
2022-2-14 19:00,0.0213,2.447,351.86,40.299,device_A
2022-2-14 20:00,0.0209,2.38,352.09,40.386,device_A
2022-2-14 21:00,0.0243,2.43,352.32,40.621,device_A
2022-2-14 22:00,0.0219,2.323,352.55,40.531,device_A
2022-2-14 23:00,0.0225,2.083,352.78,40.408,device_A
2022-2-15 00:00,0.0237,1.997,353,40.349,device_A
2022-2-15 01:00,0.0249,1.751,353.22,40.331,device_A
2022-2-15 02:00,0.0248,1.514,353.45,40.486,device_A
